sector,ai_potential
Accommodation and food service activities,22.413981792637752
Administrative and support service activities,38.18776518875141
"Agriculture, forestry and fishing",15.32741480741479
"Arts, entertainment and recreation",33.36058132838606
Construction,23.770953868079676
Education,43.57142861352513
"Electricity, gas, steam and air conditioning",20.820859402743373
Financial and insurance activities,55.90248013350604
Households as employers,27.773379972380486
Human health and social work activities,30.038262400665
Information and communication,52.54128868506641
Manufacturing,15.614517297995146
Mining and quarrying,8.422709226236222
Other service activities,19.119351149248757
"Professional, scientific and technical activities",40.41258321741736
Public administration and defence,37.69865841073268
Real estate activities,50.75098947279396
Transportation and storage,31.74212184011961
"Water supply; sewerage, waste management",20.128539846412888
Wholesale and retail trade,29.064327956036106
