task_name,pct,all-MiniLM-L6-v2,all-mpnet-base-v2,paraphrase-multilingual-MiniLM-L12-v2,sentence-transformers/bert-base-nli-mean-tokens,num_models_agree,chat_gpt_4o,economic_activity_eurostat
"answer customer inquiries or explain cost, availability, policies, and procedures of facilities.",0.0303579106461153,Accommodation,"Office administrative, office support and other business support activities","Travel agency, tour operator and other reservation service and related activities",Activities of head offices; management consultancy activities,1.0,Accommodation,Accommodation
"answer inquiries pertaining to hotel policies and services, and resolve occupants' complaints.",0.0029967036260113,Accommodation,"Travel agency, tour operator and other reservation service and related activities",Rental and leasing activities,Activities of head offices; management consultancy activities,1.0,Accommodation,Accommodation
hear and resolve complaints from customers or the public.,0.0040390353220153,Repair of computers and personal and household goods,Information service activities,Advertising and market research,"Office administrative, office support and other business support activities",1.0,Accommodation,Accommodation
"keep records of room availability and guests' accounts, manually or using computers.",0.0019543719300074,Accommodation,Residential care activities,Rental and leasing activities,Repair of computers and personal and household goods,1.0,Accommodation,Accommodation
determine the value loss impact and criticality of assets.,0.0100324425740381,Legal and accounting activities,"Insurance, reinsurance and pension funding, except compulsory social security",Real estate activities,"Waste collection, treatment and disposal activities; materials recovery",1.0,Activities auxiliary to financial services and insurance activities,Activities auxiliary to financial services and insurance activities
"identify and analyze areas of potential risk to the assets, earning capacity, or success of organizations.",0.0062539901760237,"Financial service activities, except insurance and pension funding",Activities of head offices; management consultancy activities,Activities auxiliary to financial services and insurance activities,Security and investigation activities,1.0,Activities auxiliary to financial services and insurance activities,Activities auxiliary to financial services and insurance activities
"negotiate with creditors on behalf of clients to arrange for payment adjustments, interest rate reductions, time extensions, or to set up payment plans.",0.0041693267840158,"Financial service activities, except insurance and pension funding",Activities auxiliary to financial services and insurance activities,Legal and accounting activities,Activities of head offices; management consultancy activities,1.0,Activities auxiliary to financial services and insurance activities,Activities auxiliary to financial services and insurance activities
"translate messages simultaneously or consecutively into specified languages, orally or by using hand signs, maintaining message content, context, and style as much as possible.",0.0630610676082396,Programming and broadcasting activities,Postal and courier activities,Telecommunications,Printing and reproduction of recorded media,1.0,Activities of extraterritorial organisations and bodies,Activities of extraterritorial organisations and bodies
"analyze expenditures and other financial information to develop plans, policies, or budgets for increasing profits or improving services.",0.025015960704095,"Financial service activities, except insurance and pension funding",Legal and accounting activities,Activities auxiliary to financial services and insurance activities,Advertising and market research,1.0,Activities of head offices; management consultancy activities,Activities of head offices; management consultancy activities
"analyze organizational, occupational, and industrial data to facilitate organizational functions and provide technical information to business, industry, and government.",0.345402665763312,Employment activities,"Other professional, scientific and technical activities",Information service activities,"Office administrative, office support and other business support activities",1.0,Activities of head offices; management consultancy activities,Activities of head offices; management consultancy activities
"design, evaluate and modify benefits policies to ensure that programs are current, competitive and in compliance with legal requirements.",0.0053419499420202,"Insurance, reinsurance and pension funding, except compulsory social security",Information service activities,Legal and accounting activities,Advertising and market research,1.0,Activities of head offices; management consultancy activities,Activities of head offices; management consultancy activities
"develop and implement purchasing and contract management instructions, policies, and procedures.",0.0078174877200297,Wholesale and retail trade and repair of motor vehicles and motorcycles,Activities of head offices; management consultancy activities,Legal and accounting activities,Advertising and market research,1.0,Activities of head offices; management consultancy activities,Activities of head offices; management consultancy activities
"develop and interpret organizational goals, policies, and procedures.",0.0182408046800693,Activities of head offices; management consultancy activities,"Office administrative, office support and other business support activities",Activities of membership organisations,Information service activities,1.0,Activities of head offices; management consultancy activities,Activities of head offices; management consultancy activities
develop or implement procedures or systems to evaluate or select suppliers.,0.0045602011700173,"Wholesale trade, except of motor vehicles and motorcycles",Other manufacturing,Manufacture of machinery and equipment n.e.c.,Activities of head offices; management consultancy activities,1.0,Activities of head offices; management consultancy activities,Activities of head offices; management consultancy activities
"develop, maintain, and analyze budgets, preparing periodic reports that compare budgeted costs to actual costs.",0.0069054474860262,Activities of head offices; management consultancy activities,"Office administrative, office support and other business support activities",Activities auxiliary to financial services and insurance activities,Advertising and market research,1.0,Activities of head offices; management consultancy activities,Activities of head offices; management consultancy activities
"direct preparation and distribution of written and verbal information to inform employees of benefits, compensation, and personnel policies.",0.0346575288921317,Employment activities,"Office administrative, office support and other business support activities",Information service activities,Activities of head offices; management consultancy activities,1.0,Activities of head offices; management consultancy activities,Activities of head offices; management consultancy activities
"establish operational policies and procedures and make any necessary modifications, based on analysis of operations, demographics, and other research information.",0.0099021511120376,Employment activities,Activities of head offices; management consultancy activities,Information service activities,Programming and broadcasting activities,1.0,Activities of head offices; management consultancy activities,Activities of head offices; management consultancy activities
"explain proposed solutions to customers, management, or other interested parties through written proposals and oral presentations.",0.0119868145040455,Advertising and market research,Activities of head offices; management consultancy activities,"Computer programming, consultancy and related activities","Office administrative, office support and other business support activities",1.0,Activities of head offices; management consultancy activities,Activities of head offices; management consultancy activities
identify and analyze industry or geographic trends with business strategy implications.,0.0204557595340777,"Retail trade, except of motor vehicles and motorcycles",Advertising and market research,Architectural and engineering activities; technical testing and analysis,Activities of head offices; management consultancy activities,1.0,Activities of head offices; management consultancy activities,Activities of head offices; management consultancy activities
identify or develop business rules or standard operating procedures to streamline operating processes.,0.0040390353220153,Mining support service activities,"Office administrative, office support and other business support activities","Computer programming, consultancy and related activities",Activities of head offices; management consultancy activities,1.0,Activities of head offices; management consultancy activities,Activities of head offices; management consultancy activities
keep informed of industry trends and deals.,0.0287944131021094,"Retail trade, except of motor vehicles and motorcycles",Information service activities,Advertising and market research,Activities of head offices; management consultancy activities,1.0,Activities of head offices; management consultancy activities,Activities of head offices; management consultancy activities
"monitor developments in the fields of industrial technology, business, finance, and economic theory.",0.0046904926320178,Scientific research and development,"Other professional, scientific and technical activities","Computer programming, consultancy and related activities","Office administrative, office support and other business support activities",1.0,Activities of head offices; management consultancy activities,Activities of head offices; management consultancy activities
participate in the work of subordinates to facilitate productivity or to overcome difficult aspects of work.,0.202342640486768,Activities of membership organisations,"Office administrative, office support and other business support activities",Activities of households as employers of domestic personnel,Employment activities,1.0,Activities of head offices; management consultancy activities,Activities of head offices; management consultancy activities
prepare and review operational reports or project progress reports.,0.0076871962580292,Security and investigation activities,Architectural and engineering activities; technical testing and analysis,Specialised construction activities,Activities of head offices; management consultancy activities,1.0,Activities of head offices; management consultancy activities,Activities of head offices; management consultancy activities
