country,15 years or over_2014,15 years or over_2024,50 years or over_2014,50 years or over_2024,aging_score_2014,aging_score_2024,aging_diff_2014_2024
Austria,4103300.0,4480300.0,1058900.0,1420600.0,25.806058538249697,31.70769814521349,5.901639606963794
Belgium,4537700.0,5060600.0,1240600.0,1613900.0,27.33984177005972,31.891475319132116,4.551633549072395
Bulgaria,2959600.0,2913700.0,867700.0,1105300.0,29.3181511015002,37.93458489206164,8.616433790561445
Croatia,1534200.0,1671000.0,426100.0,506300.0,27.773432407769523,30.299222022740874,2.5257896149713517
Cyprus,357200.0,484200.0,81400.0,143000.0,22.788353863381857,29.533250722841803,6.744896859459946
Czechia,4973900.0,5191600.0,1433200.0,1829300.0,28.814411226602864,35.23576546729332,6.421354240690455
Denmark,2649800.0,3045900.0,800600.0,1047500.0,30.213601026492565,34.39049213697101,4.176891110478447
Estonia,618300.0,684200.0,193900.0,221700.00000000003,31.36018114184053,32.40280619701842,1.04262505517789
Finland,2428200.0,2587800.0,777500.0,838199.9999999999,32.0196029981056,32.390447484349636,0.37084448624403876
France,26107500.0,28421400.0,7565800.0,9363000.0,28.979412046346837,32.943486246279214,3.9640741999323765
Germany,39867600.0,43214100.0,13510400.0,16271100.0,33.888169842177604,37.652294042916544,3.764124200738941
Greece,3534500.0,4267800.0,938600.0,1594000.0,26.55538265666997,37.349454051267635,10.794071394597665
Hungary,4072000.0,4699600.0,1040000.0,1561700.0,25.540275049115913,33.23048770108094,7.690212651965027
Ireland,1981900.0,2685300.0,472800.0,749700.0,23.855895857510472,27.91866830521729,4.06277244770682
Italy,22278200.0,23930900.0,7092700.0,9702800.000000002,31.836952716108126,40.54506934549057,8.708116629382442
Latvia,872600.0,861100.0,259600.00000000003,307600.0,29.75017190006876,35.72175124840321,5.971579348334448
Lithuania,1308000.0,1460800.0,401800.0,525600.0,30.718654434250762,35.9802847754655,5.261630341214737
Luxembourg,235800.0,283800.0,50400.0,53000.0,21.374045801526716,18.675123326286116,-2.6989224752406002
Malta,188200.0,316500.0,39500.0,57800.0,20.988310308182783,18.26224328593997,-2.7260670222428125
Netherlands,7590000.0,9654800.0,2316400.0,3274800.0,30.519104084321473,33.91887972821809,3.3997756438966142
Poland,15830700.0,17094500.0,4312000.0,4877100.0,27.23821435565073,28.530229021030156,1.2920146653794262
Portugal,4487800.0,5102800.0,1349500.0,1891900.0,30.070413120014262,37.0757231323979,7.005310012383635
Romania,8579300.0,7826800.0,2294600.0,2405100.0,26.745771799564068,30.72903357694077,3.9832617773767005
Slovakia,2356900.0,2540000.0,597700.0,728100.0,25.359582502439643,28.66535433070866,3.305771828269016
Slovenia,910500.0,991200.0,241500.0,309600.0,26.523887973640857,31.234866828087167,4.71097885444631
Spain,17343400.0,21653100.0,4676600.0,7593200.0,26.96472433317573,35.06749610910216,8.102771775926428
Sweden,4743200.0,5269300.0,1527600.0,1835100.0,32.20610558272896,34.82625775719735,2.6201521744683873
