Title,human_beta,all-MiniLM-L6-v2,all-mpnet-base-v2,paraphrase-multilingual-MiniLM-L12-v2,sentence-transformers/bert-base-nli-mean-tokens,num_models_agree,chat_gpt_4o,economic_activity_eurostat
Environmental Economists,0.775,Remediation activities and other waste management services,"Crop and animal production, hunting and related service activities",Scientific research and development,Civil engineering,1,Scientific research and development,Scientific research and development
Industrial Ecologists,0.710526315789473,"Other professional, scientific and technical activities",Forestry and logging,Manufacture of chemicals and chemical products,Manufacture of machinery and equipment n.e.c.,1,Scientific research and development,Scientific research and development
Statisticians,0.710526315789473,Education,Advertising and market research,Scientific research and development,Information service activities,1,Scientific research and development,Scientific research and development
Statistical Assistants,0.678571428571428,"Other professional, scientific and technical activities",Mining support service activities,Employment activities,Information service activities,1,Scientific research and development,Scientific research and development
Document Management Specialists,0.67391304347826,Activities of head offices; management consultancy activities,"Office administrative, office support and other business support activities",Publishing activities,Information service activities,1,"Office administrative, office support and other business support activities","Office administrative, office support and other business support activities"
Web Administrators,0.671428571428571,"Computer programming, consultancy and related activities","Office administrative, office support and other business support activities",Activities of head offices; management consultancy activities,Information service activities,1,"Computer programming, consultancy and related activities","Computer programming, consultancy and related activities"
Customer Service Representatives,0.666666666666666,Telecommunications,"Office administrative, office support and other business support activities",Other personal service activities,Activities of head offices; management consultancy activities,1,"Office administrative, office support and other business support activities","Office administrative, office support and other business support activities"
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",0.657894736842105,"Other professional, scientific and technical activities","Wholesale trade, except of motor vehicles and motorcycles",Manufacture of chemicals and chemical products,"Manufacture of fabricated metal products, except machinery and equipment",1,"Wholesale trade, except of motor vehicles and motorcycles","Wholesale trade, except of motor vehicles and motorcycles"
Concierges,0.65625,Food and beverage service activities,"Travel agency, tour operator and other reservation service and related activities",Education,Activities of head offices; management consultancy activities,1,Accommodation,Accommodation
"Dispatchers, Except Police, Fire, and Ambulance",0.653846153846153,Postal and courier activities,Other personal service activities,Activities of extraterritorial organisations and bodies,"Wholesale trade, except of motor vehicles and motorcycles",1,Warehousing and support activities for transportation,Warehousing and support activities for transportation
Loan Officers,0.65,"Financial service activities, except insurance and pension funding",Real estate activities,Legal and accounting activities,Rental and leasing activities,1,"Financial service activities, except insurance and pension funding","Financial service activities, except insurance and pension funding"
Business Intelligence Analysts,0.588235294117647,"Computer programming, consultancy and related activities",Mining support service activities,Security and investigation activities,Activities of head offices; management consultancy activities,1,Information service activities,Information service activities
Database Administrators,0.583333333333333,Activities of head offices; management consultancy activities,"Office administrative, office support and other business support activities",Information service activities,"Computer programming, consultancy and related activities",1,"Computer programming, consultancy and related activities","Computer programming, consultancy and related activities"
Industrial-Organizational Psychologists,0.58,Employment activities,"Other professional, scientific and technical activities",Activities of membership organisations,Activities of head offices; management consultancy activities,1,"Other professional, scientific and technical activities","Other professional, scientific and technical activities"
Clinical Data Managers,0.571428571428571,Activities of head offices; management consultancy activities,Mining support service activities,Information service activities,Human health activities,1,Human health activities,Human health activities
Social Science Research Assistants,0.565217391304347,Education,Social work activities without accommodation,Scientific research and development,Public administration and defence; compulsory social security,1,Scientific research and development,Scientific research and development
"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",0.555555555555555,"Manufacture of computer, electronic and optical products",Wholesale and retail trade and repair of motor vehicles and motorcycles,Manufacture of chemicals and chemical products,Manufacture of machinery and equipment n.e.c.,1,"Wholesale trade, except of motor vehicles and motorcycles","Wholesale trade, except of motor vehicles and motorcycles"
"Electronics Engineers, Except Computer",0.547619047619047,"Other professional, scientific and technical activities",Manufacture of electrical equipment,"Manufacture of computer, electronic and optical products","Manufacture of fabricated metal products, except machinery and equipment",1,"Manufacture of computer, electronic and optical products","Manufacture of computer, electronic and optical products"
Sales Engineers,0.54,Civil engineering,Specialised construction activities,Other manufacturing,Activities of head offices; management consultancy activities,1,"Wholesale trade, except of motor vehicles and motorcycles","Wholesale trade, except of motor vehicles and motorcycles"
Clinical and Counseling Psychologists,0.533333333333333,Education,"Other professional, scientific and technical activities",Other personal service activities,Activities of head offices; management consultancy activities,1,Human health activities,Human health activities
"Title Examiners, Abstractors, and Searchers",0.529411764705882,"Other professional, scientific and technical activities",Legal and accounting activities,Activities of head offices; management consultancy activities,Information service activities,1,Legal and accounting activities,Legal and accounting activities
Library Technicians,0.514285714285714,"Other professional, scientific and technical activities","Office administrative, office support and other business support activities",Publishing activities,Repair of computers and personal and household goods,1,"Libraries, archives, museums and other cultural activities","Libraries, archives, museums and other cultural activities"
"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",0.5,"Retail trade, except of motor vehicles and motorcycles",Employment activities,Advertising and market research,"Office administrative, office support and other business support activities",1,"Retail trade, except of motor vehicles and motorcycles","Retail trade, except of motor vehicles and motorcycles"
Quality Control Analysts,0.5,Manufacture of machinery and equipment n.e.c.,Architectural and engineering activities; technical testing and analysis,Security and investigation activities,Information service activities,1,Manufacture of chemicals and chemical products,Manufacture of chemicals and chemical products
"Securities, Commodities, and Financial Services Sales Agents",0.483333333333333,"Financial service activities, except insurance and pension funding",Real estate activities,Activities auxiliary to financial services and insurance activities,Legal and accounting activities,1,"Financial service activities, except insurance and pension funding","Financial service activities, except insurance and pension funding"
"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",0.481481481481481,Civil engineering,"Other professional, scientific and technical activities",Other mining and quarrying,"Manufacture of fabricated metal products, except machinery and equipment",1,Architectural and engineering activities; technical testing and analysis,Architectural and engineering activities; technical testing and analysis
Robotics Engineers,0.479166666666666,Civil engineering,Repair and installation of machinery and equipment,Manufacture of electrical equipment,Architectural and engineering activities; technical testing and analysis,1,Manufacture of machinery and equipment n.e.c.,Manufacture of machinery and equipment n.e.c.
Procurement Clerks,0.473684210526315,"Computer programming, consultancy and related activities","Office administrative, office support and other business support activities",Legal and accounting activities,Activities of head offices; management consultancy activities,1,"Office administrative, office support and other business support activities","Office administrative, office support and other business support activities"
Equal Opportunity Representatives and Officers,0.473684210526315,Employment activities,Activities of membership organisations,Activities of extraterritorial organisations and bodies,Information service activities,1,Public administration and defence; compulsory social security,Public administration and defence; compulsory social security
Loan Interviewers and Clerks,0.472222222222222,Activities of households as employers of domestic personnel,Rental and leasing activities,Legal and accounting activities,"Office administrative, office support and other business support activities",1,"Financial service activities, except insurance and pension funding","Financial service activities, except insurance and pension funding"
Logisticians,0.454545454545454,Education,"Other professional, scientific and technical activities",Forestry and logging,Manufacture of machinery and equipment n.e.c.,1,Warehousing and support activities for transportation,Warehousing and support activities for transportation
Coroners,0.45,Education,"Other professional, scientific and technical activities",Activities of extraterritorial organisations and bodies,Legal and accounting activities,1,Public administration and defence; compulsory social security,Public administration and defence; compulsory social security
"Human Resources Assistants, Except Payroll and Timekeeping",0.447368421052631,Employment activities,"Office administrative, office support and other business support activities",Activities of head offices; management consultancy activities,"Financial service activities, except insurance and pension funding",1,"Office administrative, office support and other business support activities","Office administrative, office support and other business support activities"
"Engineering Teachers, Postsecondary",0.4375,Civil engineering,"Other professional, scientific and technical activities",Education,Architectural and engineering activities; technical testing and analysis,1,Education,Education
"Architects, Except Landscape and Naval",0.4375,Services to buildings and landscape activities,Specialised construction activities,Construction of buildings,"Financial service activities, except insurance and pension funding",1,Architectural and engineering activities; technical testing and analysis,Architectural and engineering activities; technical testing and analysis
First-Line Supervisors of Firefighting and Prevention Workers,0.416666666666666,Employment activities,Activities of households as employers of domestic personnel,Specialised construction activities,"Electricity, gas, steam and air conditioning supply",1,Public administration and defence; compulsory social security,Public administration and defence; compulsory social security
Demonstrators and Product Promoters,0.395833333333333,Manufacture of food products,Other manufacturing,Advertising and market research,Warehousing and support activities for transportation,1,Advertising and market research,Advertising and market research
Retail Salespersons,0.395833333333333,"Retail trade, except of motor vehicles and motorcycles",Wholesale and retail trade and repair of motor vehicles and motorcycles,Advertising and market research,"Office administrative, office support and other business support activities",1,"Retail trade, except of motor vehicles and motorcycles","Retail trade, except of motor vehicles and motorcycles"
Athletic Trainers,0.391304347826086,Education,"Other professional, scientific and technical activities",Sports activities and amusement and recreation activities,Manufacture of wearing apparel,1,Sports activities and amusement and recreation activities,Sports activities and amusement and recreation activities
Traffic Technicians,0.375,Civil engineering,Specialised construction activities,Manufacture of other transport equipment,Warehousing and support activities for transportation,1,Architectural and engineering activities; technical testing and analysis,Architectural and engineering activities; technical testing and analysis
Orthoptists,0.375,Fishing and aquaculture,"Other professional, scientific and technical activities",Veterinary activities,Air transport,1,Human health activities,Human health activities
Loss Prevention Managers,0.37037037037037,"Office administrative, office support and other business support activities",Activities of head offices; management consultancy activities,Remediation activities and other waste management services,"Waste collection, treatment and disposal activities; materials recovery",1,Security and investigation activities,Security and investigation activities
Registered Nurses,0.37037037037037,Residential care activities,"Other professional, scientific and technical activities",Other personal service activities,Activities of head offices; management consultancy activities,1,Human health activities,Human health activities
Recreational Therapists,0.363636363636363,Residential care activities,Other personal service activities,Human health activities,Sports activities and amusement and recreation activities,1,Residential care activities,Residential care activities
"Meter Readers, Utilities",0.346153846153846,Manufacture of electrical equipment,"Electricity, gas, steam and air conditioning supply",Publishing activities,"Water collection, treatment and supply",1,"Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply"
Psychiatric Technicians,0.34375,Education,Other personal service activities,Human health activities,Residential care activities,1,Human health activities,Human health activities
Nannies,0.342105263157894,Veterinary activities,Other personal service activities,Unknown NACE activity,Education,1,Activities of households as employers of domestic personnel,Activities of households as employers of domestic personnel
Obstetricians and Gynecologists,0.333333333333333,Residential care activities,"Other professional, scientific and technical activities",Activities auxiliary to financial services and insurance activities,Manufacture of basic pharmaceutical products and pharmaceutical preparations,1,Human health activities,Human health activities
Set and Exhibit Designers,0.333333333333333,"Creative, arts and entertainment activities","Motion picture, video and television programme production, sound recording and music publishing activities",Specialised construction activities,Manufacture of furniture,1,"Creative, arts and entertainment activities","Creative, arts and entertainment activities"
Microbiologists,0.321428571428571,"Other professional, scientific and technical activities",Veterinary activities,Scientific research and development,Fishing and aquaculture,1,Scientific research and development,Scientific research and development
"Geological Technicians, Except Hydrologic Technicians",0.316666666666666,Civil engineering,"Other professional, scientific and technical activities",Specialised construction activities,"Manufacture of fabricated metal products, except machinery and equipment",1,Scientific research and development,Scientific research and development
Acupuncturists,0.305555555555555,"Electricity, gas, steam and air conditioning supply",Veterinary activities,Human health activities,Manufacture of machinery and equipment n.e.c.,1,Human health activities,Human health activities
Diagnostic Medical Sonographers,0.3,"Other professional, scientific and technical activities",Veterinary activities,Scientific research and development,Manufacture of basic pharmaceutical products and pharmaceutical preparations,1,Human health activities,Human health activities
"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",0.285714285714285,Social work activities without accommodation,Residential care activities,"Travel agency, tour operator and other reservation service and related activities",Human health activities,1,Human health activities,Human health activities
Nurse Midwives,0.285714285714285,Activities of households as employers of domestic personnel,"Other professional, scientific and technical activities",Residential care activities,Manufacture of basic pharmaceutical products and pharmaceutical preparations,1,Human health activities,Human health activities
Substance Abuse and Behavioral Disorder Counselors,0.282608695652173,Food and beverage service activities,Residential care activities,Other personal service activities,Activities of head offices; management consultancy activities,1,Social work activities without accommodation,Social work activities without accommodation
Merchandise Displayers and Window Trimmers,0.28,"Retail trade, except of motor vehicles and motorcycles",Employment activities,"Manufacture of computer, electronic and optical products",Warehousing and support activities for transportation,1,Wholesale and retail trade and repair of motor vehicles and motorcycles,Wholesale and retail trade and repair of motor vehicles and motorcycles
Mental Health Counselors,0.259259259259259,Social work activities without accommodation,Other personal service activities,Human health activities,Residential care activities,1,Human health activities,Human health activities
Crossing Guards and Flaggers,0.25,Security and investigation activities,Other personal service activities,Activities of extraterritorial organisations and bodies,Postal and courier activities,1,Public administration and defence; compulsory social security,Public administration and defence; compulsory social security
